Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private,
软件构造, 2018-02-26, 08:00 AM, 2018-02-26, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-03-05, 08:00 AM, 2018-03-05, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-03-12, 08:00 AM, 2018-03-12, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-03-19, 08:00 AM, 2018-03-19, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-03-26, 08:00 AM, 2018-03-26, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-04-02, 08:00 AM, 2018-04-02, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-04-09, 08:00 AM, 2018-04-09, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-04-16, 08:00 AM, 2018-04-16, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-04-23, 08:00 AM, 2018-04-23, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-05-07, 08:00 AM, 2018-05-07, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-05-14, 08:00 AM, 2018-05-14, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-05-21, 08:00 AM, 2018-05-21, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-05-28, 08:00 AM, 2018-05-28, 09:45 AM, False, 徐汉川, 正心23, True
计算方法, 2018-02-27, 08:00 AM, 2018-02-27, 09:45 AM, False, 陈延梅, 正心32, True
计算方法, 2018-03-06, 08:00 AM, 2018-03-06, 09:45 AM, False, 陈延梅, 正心32, True
计算方法, 2018-03-13, 08:00 AM, 2018-03-13, 09:45 AM, False, 陈延梅, 正心32, True
计算方法, 2018-03-20, 08:00 AM, 2018-03-20, 09:45 AM, False, 陈延梅, 正心32, True
计算方法, 2018-03-27, 08:00 AM, 2018-03-27, 09:45 AM, False, 陈延梅, 正心32, True
计算方法, 2018-04-03, 08:00 AM, 2018-04-03, 09:45 AM, False, 陈延梅, 正心32, True
计算方法, 2018-04-10, 08:00 AM, 2018-04-10, 09:45 AM, False, 陈延梅, 正心32, True
计算方法, 2018-04-17, 08:00 AM, 2018-04-17, 09:45 AM, False, 陈延梅, 正心32, True
软件构造, 2018-02-28, 08:00 AM, 2018-02-28, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-03-07, 08:00 AM, 2018-03-07, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-03-14, 08:00 AM, 2018-03-14, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-03-21, 08:00 AM, 2018-03-21, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-03-28, 08:00 AM, 2018-03-28, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-04-04, 08:00 AM, 2018-04-04, 09:45 AM, False, 徐汉川, 正心23, True
软件构造, 2018-04-11, 08:00 AM, 2018-04-11, 09:45 AM, False, 徐汉川, 正心23, True
